record_id,user_id,transaction_amount,region,event_date,status
1,1310,438.97,North,2026-01-10,success
2,1210,483.43,South,2025-12-27,success
3,1150,322.92,West,2025-12-27,failed
4,1207,563.4,West,2025-12-30,failed
5,319,252.2,North,2025-12-22,failed
6,199,455.75,East,2026-01-14,success
7,1495,490.46,West,2025-12-22,failed
8,1699,731.19,East,2026-01-07,success
9,1443,454.85,East,2025-12-25,failed
10,728,418.42,North,2026-01-08,success
11,1094,556.38,West,2025-12-28,success
12,1403,343.87,North,2025-12-27,success
13,1649,448.12,South,2026-01-18,failed
14,436,552.95,West,2025-12-24,failed
15,286,381.08,East,2026-01-12,failed
16,1839,526.95,South,2026-01-05,failed
17,187,414.92,West,2026-01-08,success
18,789,707.24,,2026-01-10,success
19,1397,583.8,,2026-01-02,success
20,930,609.54,North,2026-01-16,failed
21,1724,573.15,South,2025-12-31,success
22,1105,714.81,West,2025-12-20,success
23,1903,583.04,South,2026-01-17,success
24,176,759.5,South,2025-12-24,failed
25,1940,513.95,West,2026-01-19,success
26,1903,529.95,South,2026-01-11,failed
27,818,473.59,North,2025-12-27,success
28,132,419.04,South,2026-01-07,success
29,15,260.59,South,2025-12-22,success
30,1761,428.15,East,2026-01-10,failed
31,439,529.2,West,2025-12-27,failed
32,1654,,West,2025-12-31,failed
33,842,474.94,North,2025-12-21,failed
34,1492,260.85,South,2025-12-26,success
35,1099,481.7,East,2026-01-03,success
36,1791,656.47,North,2025-12-21,success
37,1985,408.57,West,2025-12-26,failed
38,1849,353.69,West,2025-12-28,failed
39,585,128.65,West,2025-12-24,success
40,608,551.68,East,2025-12-21,success
41,1197,440.72,,2025-12-21,success
42,1744,340.29,South,2026-01-01,success
43,1929,606.59,North,2026-01-08,success
44,859,574.52,,2026-01-18,failed
45,419,550.95,East,2026-01-01,success
46,1376,555.19,North,2025-12-20,failed
47,1273,,East,2025-12-24,failed
48,1805,382.54,East,2025-12-25,failed
49,1708,512.76,North,2026-01-10,failed
50,1909,318.93,East,2025-12-29,success
51,1470,396.5,East,2026-01-05,failed
52,515,,East,2025-12-21,success
53,684,653.8,East,2025-12-25,failed
54,1130,596.42,North,2025-12-22,success
55,1118,348.58,South,2026-01-02,success
56,86,603.96,South,2026-01-10,success
57,725,449.19,South,2026-01-18,success
58,1771,,South,2026-01-12,failed
59,1603,274.22,North,2026-01-01,success
60,1759,492.46,West,2025-12-31,failed
61,1681,578.72,North,2026-01-10,success
62,817,239.36,East,2025-12-31,failed
63,1392,629.63,North,2026-01-08,failed
64,708,568.55,North,2026-01-01,success
65,522,333.68,South,2025-12-31,failed
66,144,575.32,North,2026-01-12,failed
67,1039,433.64,West,2026-01-11,failed
68,1136,367.61,West,2026-01-10,success
69,1261,,,2025-12-29,failed
70,431,4656.4,East,2026-01-03,failed
71,906,573.96,South,2026-01-10,success
72,582,508.67,East,2025-12-22,success
73,1378,298.24,South,2025-12-20,success
74,502,601.49,South,2026-01-11,failed
75,1013,475.77,North,2026-01-17,success
76,1595,481.3,West,2025-12-21,success
77,1879,631.93,West,2026-01-10,failed
78,1946,594.27,West,2026-01-15,failed
79,1838,458.59,East,2026-01-13,failed
80,1284,404.17,East,2025-12-27,failed
81,688,419.29,South,2025-12-24,success
82,785,636.0,North,2026-01-02,failed
83,678,515.01,South,2026-01-15,failed
84,798,700.38,North,2026-01-16,failed
85,977,343.09,West,2026-01-16,failed
86,1103,612.27,South,2026-01-04,success
87,559,486.4,East,2026-01-10,failed
88,1484,370.53,South,2026-01-08,success
89,1858,449.92,North,2025-12-22,failed
90,278,592.29,East,2026-01-01,failed
91,434,485.92,West,2025-12-28,failed
92,517,630.16,North,2026-01-19,failed
93,460,641.29,North,2026-01-13,success
94,1945,176.4,South,2025-12-27,success
95,970,580.01,South,2026-01-03,failed
96,1571,431.52,North,2026-01-13,success
97,1976,407.67,East,2026-01-07,failed
98,813,,South,2025-12-23,failed
99,1742,695.05,North,2025-12-31,failed
100,1355,446.07,East,2025-12-20,failed
101,1685,,East,2026-01-09,failed
102,1449,413.29,East,2026-01-08,failed
103,953,450.69,East,2025-12-30,success
104,1702,624.08,West,2025-12-27,failed
105,1168,536.57,North,2026-01-04,failed
106,373,496.03,East,2025-12-30,failed
107,1803,665.1,North,2026-01-05,success
108,176,410.3,South,2026-01-11,failed
109,1323,579.03,North,2025-12-22,failed
110,454,473.99,East,2026-01-04,failed
111,872,444.15,East,2025-12-28,success
112,248,566.56,South,2025-12-26,success
113,1513,488.19,East,2025-12-23,success
114,607,431.63,North,2026-01-11,success
115,562,614.81,North,2026-01-16,success
116,1176,414.83,East,2025-12-25,success
117,518,673.85,North,2026-01-01,failed
118,152,550.57,South,2025-12-24,failed
119,175,638.28,South,2026-01-13,failed
120,923,619.68,West,2025-12-29,success
121,1249,644.43,East,2026-01-10,success
122,322,380.47,South,2025-12-20,failed
123,923,573.54,North,2025-12-27,failed
124,1448,181.39,North,2026-01-10,success
125,1893,267.81,South,2026-01-02,success
126,1116,433.43,East,2026-01-15,success
127,147,611.32,East,2026-01-03,success
128,960,629.36,East,2026-01-05,failed
129,897,479.35,East,2025-12-20,success
130,469,814.56,East,2026-01-07,success
131,1563,599.63,West,2026-01-18,failed
132,372,681.35,West,2025-12-22,failed
133,713,472.21,,2026-01-16,success
